,BE,IT,FR,ES,PL,NL,DE
2024-07-01,131.753457642149,122.33133191800586,123.37241031086636,123.4711172545259,148.9394541324378,132.13244386544739,129.14893942552067
2024-08-01,132.22849347330313,122.47799247267804,123.54605427979526,123.76180515170077,149.40090928316752,132.5511672815854,129.45620564672566
2024-09-01,132.7078289341452,122.62704804258003,123.71969527111797,124.05581369152463,149.86095455647956,132.9629336714272,129.76347186793063
2024-10-01,133.1915711891239,122.77813147912867,123.89333571990166,124.35314287399748,150.32033702003596,133.36934700285684,130.0707380891356
2024-11-01,133.67972804298407,122.93093191650699,124.06697606983124,124.65379269911932,150.77940788432386,133.77191437399154,130.37800431034057
2024-12-01,134.17230006414223,123.08518614368646,124.24061640174897,124.95776316689015,151.23833225996495,134.1719006856634,130.68527053154554
2025-01-01,134.66928729399598,123.24067129909231,124.41425673038484,125.26505427730996,151.69718776855214,134.56962974056702,130.9925367527505
2025-02-01,135.17068973556025,123.39719868515445,124.58789705842271,125.57566603037876,152.1560109014486,134.96529727881378,131.29980297395548
2025-03-01,135.67650738905462,123.55460853106887,124.76153738635163,125.88959842609654,152.61481881392712,135.35897544419205,131.60706919516045
2025-04-01,136.18674025449505,123.71276555841213,124.9351777142607,126.20685146446331,153.0736195710023,135.7508256753965,131.91433541636542
2025-05-01,136.70138833188273,123.87155522653347,125.10881804216615,126.52742514547907,153.53241696418849,136.14100314331608,132.2216016375704
2025-06-01,137.22045162121776,124.03088055351712,125.28245837007096,126.85131946914382,153.9912127759475,136.52967744330232,132.52886785877536
