,BE,IT,FR,ES,PL,NL,DE
2024-11-01,132.73730350779593,123.30334373400298,123.44367037582616,123.80631694703574,150.82152898489989,133.69964155943148,130.4815607884995
2024-12-01,133.21151526624794,123.40323513186495,123.423667750337,123.90103136356146,151.2227875717098,134.0586648998536,130.92227673141576
2025-01-01,132.60841391971582,122.14113987099249,123.30978108179227,123.25624360588836,151.67559061484397,134.40600517190438,131.02938041347798
2025-02-01,133.68600766992355,122.0469489855543,124.0227911512202,123.59666739128862,152.12839365797817,134.98934342505632,131.46491605948628
2025-03-01,134.03683952028652,123.6538637974724,124.49667796558309,125.26324358146589,152.5468337302295,135.47688051756325,131.92054942299404
2025-04-01,133.72813494637984,124.18781309516173,124.93248105524077,125.79703164052314,153.1714516277779,136.09994120317776,132.42723502791944
2025-05-01,134.01361119263322,124.39058501129138,125.01191188958069,126.11534777528908,153.5555287291464,136.4893405213654,132.75983435162257
2025-06-01,134.30012534790507,124.64522057197563,125.16689759849474,126.74141893954489,153.95678731595632,136.8413540207647,133.0733016121496
2025-07-01,134.05560667627356,123.35692301045377,125.25304527822905,125.92174761626929,154.52986075718044,137.52983988925874,133.4929861584614
2025-08-01,135.49371890984838,123.31910286340651,125.83403559064617,126.12901594937257,154.91393785854893,137.9449419578633,133.71262971769588
2025-09-01,135.39056242019294,124.71165910368299,124.91063161651297,126.45850915068776,155.29801495991742,137.96281970184214,133.94794528209746
2025-10-01,135.83376857912825,125.60922331947526,125.20563278478384,126.96983569420041,155.7508180030516,138.45970324904613,134.33820570297354
